experiment,image_name,query_idx,query_text,run_idx,elapsed_s,requests_in_call,avg_prompt_tokens,avg_output_tokens,total_output_tokens,throughput_output_tok_per_s,avg_first_token_latency_s,sample_text
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",1,0.6230344362556934,1,1072.0,128.0,128,205.44610787367262,,"This is an aerial, high-angle satellite image of a landscape that appears to be a volcanic area with a significant amount of recent geological activity. The scene is dominated by a stark contrast between the dark, rugged volcanic terrain on"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,1,0.617894571274519,1,1071.0,128.0,128,207.15508106176904,,"- A house located in the upper left portion of the image, near the edge of the volcanic terrain.
- A second house located in the upper right portion of the image, near the edge of the forested area.
- A large, dark, volcanic landscape on th"
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,1,0.6169118629768491,1,1066.0,128.0,128,207.48506825974826,,"Based on the visual evidence in this satellite image, several potential hazards and risks can be inferred:

- **Volcanic Activity and Eruption:** The most prominent feature is the large, dark, and highly textured area on the left side of th"
baseline,guatemala-volcano_00000003_post_disaster.png,4,Summarize the scene in 3 concise bullet points.,1,0.47247758600860834,1,1066.0,93.0,93,196.8347340783814,,"- A satellite image shows a landscape with a dark, volcanic area on the left, likely a lava field or caldera, contrasting with a green, forested region on the right.
- A small settlement with two buildings is visible in the middle, situated"
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",2,0.6427688337862492,1,1072.0,128.0,128,199.13846669573593,,"This is an aerial, high-angle satellite image of a landscape that appears to be a volcanic area with a significant amount of recent geological activity. The scene is dominated by a stark contrast between the dark, rugged volcanic terrain on"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,2,0.6148903109133244,1,1071.0,128.0,128,208.16720922122812,,"- A house located in the upper left portion of the image, near the edge of the volcanic terrain.
- A second house located in the upper right portion of the image, near the edge of the forested area.
- A large, dark, volcanic landscape on th"
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,2,0.614810430444777,1,1066.0,128.0,128,208.19425576010477,,"Based on the visual evidence in this satellite image, several potential hazards and risks can be inferred:

- **Volcanic Activity and Eruption:** The most prominent feature is the large, dark, and highly textured area on the left side of th"
baseline,guatemala-volcano_00000003_post_disaster.png,4,Summarize the scene in 3 concise bullet points.,2,0.4727267976850271,1,1066.0,93.0,93,196.7309669251391,,"- A satellite image shows a landscape with a dark, volcanic area on the left, likely a lava field or caldera, contrasting with a green, forested region on the right.
- A small settlement with two buildings is visible in the middle, situated"
baseline,guatemala-volcano_00000003_post_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",3,0.6077710324898362,1,1072.0,128.0,128,210.6056280366415,,"This is an aerial, high-angle satellite image of a landscape that appears to be a volcanic area with a significant amount of recent geological activity. The scene is dominated by a stark contrast between the dark, rugged volcanic terrain on"
baseline,guatemala-volcano_00000003_post_disaster.png,2,List the top 10 visible objects and where they are located in the image.,3,0.6098750699311495,1,1071.0,128.0,128,209.87904951492817,,"- A house located in the upper left portion of the image, near the edge of the volcanic terrain.
- A second house located in the upper right portion of the image, near the edge of the forested area.
- A large, dark, volcanic landscape on th"
baseline,guatemala-volcano_00000003_post_disaster.png,3,What potential hazards or risks can you infer from this image?,3,0.6101964469999075,1,1066.0,128.0,128,209.7685108284798,,"Based on the visual evidence in this satellite image, several potential hazards and risks can be inferred:

- **Volcanic Activity and Eruption:** The most prominent feature is the large, dark, and highly textured area on the left side of th"
baseline,guatemala-volcano_00000003_post_disaster.png,4,Summarize the scene in 3 concise bullet points.,3,0.46766520850360394,1,1066.0,93.0,93,198.86020663708047,,"- A satellite image shows a landscape with a dark, volcanic area on the left, likely a lava field or caldera, contrasting with a green, forested region on the right.
- A small settlement with two buildings is visible in the middle, situated"
baseline,guatemala-volcano_00000003_pre_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",1,0.7844286952167749,1,1072.0,128.0,128,163.17608060555142,,"This is an aerial, high-angle photograph of a golf course nestled within a dense, forested mountainous landscape. The image captures the course's layout and its integration with the surrounding natural environment.

The scene is dominated b"
baseline,guatemala-volcano_00000003_pre_disaster.png,2,List the top 10 visible objects and where they are located in the image.,1,0.6102668009698391,1,1071.0,128.0,128,209.74432788508526,,"- A golf course with green fairways and sand traps, located in the center of the image.
- A small building, possibly a clubhouse, situated on the right side of the golf course.
- A large body of water, likely a lake or pond, located on the "
baseline,guatemala-volcano_00000003_pre_disaster.png,3,What potential hazards or risks can you infer from this image?,1,0.6167116547003388,1,1066.0,128.0,128,207.55242587752846,,"Based on the aerial image provided, here are several potential hazards and risks that can be inferred:

- **Environmental Degradation and Soil Erosion**: The most significant risk is the visible degradation of the land. The large, irregular"
baseline,guatemala-volcano_00000003_pre_disaster.png,4,Summarize the scene in 3 concise bullet points.,1,0.4403262250125408,1,1066.0,86.0,86,195.3097388136504,,"- Aerial view of a golf course nestled in a lush, green, forested area with winding fairways and sand traps.
- The course is surrounded by dense trees and appears to be on a hillside, with a small building visible near the center.
- The lan"
baseline,guatemala-volcano_00000003_pre_disaster.png,1,"Describe this image in detail. Include scene elements, objects, text, and spatial relationships.",2,0.6105323322117329,1,1072.0,128.0,128,209.65310639045657,,"This is an aerial, high-angle photograph of a golf course nestled within a dense, forested mountainous landscape. The image captures the course's layout and its integration with the surrounding natural environment.

The scene is dominated b"
